Name,Description,Location,Established,Area,Annual_Visitors,Latitude,Longitude,AllTrails URL,Map Link,Map Type
Carlsbad Caverns,"Features over 119 caves formed by sulfuric acid dissolution. Offers guided tours and camping nearby. Carlsbad Caverns has 117 caves, the longest of which is over 120 miles (190 km) long. The Big Room is almost 4,000 feet (1,200 m) long, and the caves are home to over 400,000 Mexican free-tailed bats and sixteen other species. Above ground are the Chihuahuan Desert and Rattlesnake Springs.[27] (WHS)[28]","32.17,-104.44","May 14, 1930","46,766.45 acres (189.3 km2)",390932,32.17,-104.44,https://www.alltrails.com/parks/us/new-mexico/carlsbad-caverns-national-park,https://www.nps.gov/media/photo/collection-item.htm?pg=7323739&cid=305fb7af-a71b-469b-941e-a98b439c882f&id=e6e19d73-fae6-4968-8c44-331dd9378ab2&sid=b207c9e4-139e-49e0-a271-b97692575485&p=1&sort=relevance,Park Map
Channel Islands,"Located off the California coast, with sea caves, unique wildlife, and island camping options. Five of the eight Channel Islands are protected, with half of the park's area underwater. The islands have a unique Mediterranean ecosystem originally settled by the Chumash people. They are home to over 2,000 species of land plants and animals, 145 endemic to them, including the island fox. Ferry services offer transportation to the islands from the mainland.[29] (BR)[30]","34.01,-119.42","March 5, 1980","249,561.00 acres (1,009.9 km2)",323245,34.01,-119.42,https://www.alltrails.com/parks/us/california/channel-islands-national-park,https://www.nps.gov/media/photo/collection-item.htm?pg=7323739&cid=305fb7af-a71b-469b-941e-a98b439c882f&id=08a73c40-c1ef-4ce9-9a36-03688678bd92&sid=3145e9b1-1702-4d2f-85b0-64ed3fc8de9b&p=1&sort=relevance,Park Map
Congaree,"The largest intact expanse of old-growth bottomland hardwood forest in the U.S. Ideal for kayaking, canoeing, and hiking. On the Congaree River, this park is the largest portion of old-growth floodplain forest left in North America. Some of the trees are the tallest in the eastern United States. An elevated walkway called the Boardwalk Loop guides visitors through the swamp.[31] (BR)[32]","33.78,-80.78","November 10, 2003","26,692.60 acres (108.0 km2)",204522,33.78,-80.78,https://www.alltrails.com/parks/us/south-carolina/congaree-national-park,https://www.nps.gov/media/photo/collection-item.htm?pg=7323739&cid=305fb7af-a71b-469b-941e-a98b439c882f&id=30f2efb0-2dbd-4a61-bdfd-e18cb41cda1d&sid=ed1900da-95c3-41fb-a78f-2a6aa0a826fb&p=1&sort=relevance,Park Map
Crater Lake,"Known for its deep, clear blue lake inside a caldera. Offers challenging trails and camping in serene settings. Crater Lake lies in the caldera of an ancient volcano called Mount Mazama that collapsed 7,700 years ago. The lake is the deepest in the United States and is noted for its vivid blue color and water clarity. Wizard Island and the Phantom Ship are more recent volcanic formations within the caldera. As the lake has no inlets or outlets, it is replenished only by precipitation.[33]","42.94,-122.1","May 22, 1902","183,224.05 acres (741.5 km2)",527259,42.94,-122.1,https://www.alltrails.com/parks/us/oregon/crater-lake-national-park,https://www.nps.gov/media/photo/collection-item.htm?pg=7323739&cid=305fb7af-a71b-469b-941e-a98b439c882f&id=207bace8-c27a-4a9c-b1c2-9239778b6d2d&sid=c818cc1a-fae5-4749-8c2f-413f6e832f45&p=1&sort=relevance,Park Map
Cuyahoga Valley,"Lush forested trails, waterfalls, and historical sites. Popular for hiking, biking, and birdwatching. This park along the Cuyahoga River has waterfalls, hills, trails, and exhibits on early rural living. The Ohio and Erie Canal Towpath Trail follows the Ohio and Erie Canal, where mules towed canal boats. The park has numerous historic homes, bridges, and structures,[34] and also offers a scenic train ride.[35]","41.24,-81.55","October 11, 2000","32,571.89 acres (131.8 km2)",2913312,41.24,-81.55,https://www.alltrails.com/parks/us/ohio/cuyahoga-valley-national-park,https://www.nps.gov/media/photo/collection-item.htm?pg=7323739&cid=305fb7af-a71b-469b-941e-a98b439c882f&id=b33bd45b-7e9a-4e4c-91f4-59594f0be686&sid=e7c2eb87-835e-4254-9eac-52ebca02aca8&p=1&sort=relevance,Park Map
Death Valley,"Home to the lowest and hottest point in North America, with desert vistas and unique rock formations. Death Valley is the hottest, lowest, and driest place in the United States, with daytime temperatures that have exceeded 130 °F (54 °C). The park protects Badwater Basin and its vast salt flats at the lowest elevation in North America, −282 ft (−86 m),[36] This geologic graben also protects numerous canyons, badlands, sand dunes, mountain ranges, historic mines, springs, and more than 1,000 species of plants that grow.[37] (BR)[38]","36.24,-116.82","October 31, 1994","3,408,395.63 acres (13,793.3 km2)",1128862,36.24,-116.82,https://www.alltrails.com/parks/us/california/death-valley-national-park,https://www.nps.gov/media/photo/collection-item.htm?pg=7323739&cid=305fb7af-a71b-469b-941e-a98b439c882f&id=a5bcc3bf-7a8b-409d-88cc-3490c7866551&sid=88d71596-26ed-41d9-894d-af0cae633f88&p=1&sort=relevance,Park Map
Denali,"Known for Mount Denali, North America's highest peak, with extensive backcountry options. Centered on Denali, the tallest and most prominent mountain in North America, the park is serviced by a single road leading to Wonder Lake, most of which can only be accessed via scheduled tour buses. Denali and other peaks of the Alaska Range are covered with long glaciers and boreal forest. Wildlife includes grizzly bears, Dall sheep, moose, caribou, and wolves.[39] (BR)[40]","63.33,-150.50","February 26, 1917","4,740,911.16 acres (19,185.8 km2)",427562,63.33,-150.5,https://www.alltrails.com/parks/us/alaska/denali-national-park,https://www.nps.gov/media/photo/collection-item.htm?pg=7323739&cid=305fb7af-a71b-469b-941e-a98b439c882f&id=0ad819c9-157f-4dc8-af40-a9de3755a0f6&sid=8993673c-d3a6-4b83-8c9c-88b14764c192&p=1&sort=relevance,Park Map
Dry Tortugas,"Remote island park with coral reefs, historic Fort Jefferson, and excellent snorkeling and kayaking. The islands of the Dry Tortugas, at the westernmost end of the Florida Keys, are the site of Fort Jefferson, a Civil War-era fort that is the largest masonry structure in the Americas. The park is home to undisturbed coral reefs and shipwrecks, and is only accessible by plane or boat.[41] (BR)[42]","24.63,-82.87","October 26, 1992","64,701.22 acres (261.8 km2)",78488,24.63,-82.87,https://www.alltrails.com/parks/us/florida/dry-tortugas-national-park,https://www.nps.gov/media/photo/collection-item.htm?pg=7323739&cid=305fb7af-a71b-469b-941e-a98b439c882f&id=727a46d8-8e71-4e48-9807-4e4acd93c7c6&sid=c19754ce-fd4d-4d00-acd8-522f99bdf9dd&p=1&sort=relevance,Park Map
Everglades,"Subtropical wilderness with mangroves and marshes. Great for airboat tours, wildlife viewing, and backcountry camping. The Everglades are the largest tropical wilderness in the United States. This mangrove and tropical rainforest ecosystem and marine estuary is home to 36 protected species, including the Florida panther, American crocodile, and West Indian manatee. Some areas have been drained and developed; restoration projects aim to restore the ecology.[43] (WHS)[44] (BR)[42]","25.32,-80.93","May 30, 1934","1,508,938.57 acres (6,106.5 km2)",1155193,25.32,-80.93,https://www.alltrails.com/parks/us/florida/everglades-national-park,https://www.nps.gov/media/photo/collection-item.htm?pg=7323739&cid=305fb7af-a71b-469b-941e-a98b439c882f&id=5238bf1e-d52a-470d-89ef-56b18a95bdd6&sid=51f0a1c9-be0a-42df-a2b2-ea59f003c743&p=1&sort=relevance,Park Map
Gates of the Arctic,"Remote park in Alaska above the Arctic Circle, offering rugged wilderness camping and hiking. The country's northernmost park protects an expanse of pure wilderness in Alaska's Brooks Range and has no park facilities. The land is home to Alaska Natives who have relied on the land and caribou for 11,000 years.[45]","67.78,-153.30","December 2, 1980","7,523,897.45 acres (30,448.1 km2)",9457,67.78,-153.3,https://www.alltrails.com/parks/us/alaska/gates-of-the-arctic-national-park,https://www.nps.gov/media/photo/collection-item.htm?pg=7323739&cid=305fb7af-a71b-469b-941e-a98b439c882f&id=3617ecaa-71e3-4e27-a90e-b3cd74d4172f&sid=4bf6cc53-fea4-4a5a-b885-f048bcd184f7&p=1&sort=relevance,Park Map
Gateway Arch,"Memorializes westward expansion. Short trails are available, with scenic views of the Mississippi River. The Gateway Arch is a 630-foot (192 m) (both high and wide) catenary arch built in the 1960s to commemorate the Lewis and Clark Expedition, initiated by Thomas Jefferson, and the subsequent westward expansion of the country. The nearby Old Courthouse, across a greenway to the west of the arch, was the original site of the landmark Dred Scott case about slavery. An underground museum describes the arch's construction and the country's westward expansion.[47]","38.63,-90.19","February 22, 2018[46]",192.83 acres (0.8 km2),1618774,38.63,-90.19,https://www.alltrails.com/parks/us/missouri/gateway-arch-national-park,https://www.nps.gov/media/photo/collection-item.htm?pg=7323739&cid=305fb7af-a71b-469b-941e-a98b439c882f&id=4f0374c2-bb11-4748-aa12-8a55aa1eb43a&sid=8cb0ce13-4876-40fc-8940-6e3cf8d677d2&p=1&sort=relevance,Park Map
Glacier,"Alpine scenery with rugged mountains, pristine lakes, and the famous Going-to-the-Sun Road. The U.S. half of Waterton-Glacier International Peace Park, this park includes 26 rapidly receding glaciers and 130 named lakes surrounded by Rocky Mountain peaks. Historic hotels and the landmark Going-to-the-Sun Road accommodate visitors.[48] The local mountains, formed by an overthrust, expose Paleozoic fossils including trilobites, mollusks, giant ferns and dinosaurs. The park is also home to Triple Divide Peak, which forms the boundary between the watersheds of the Atlantic, Pacific, and Arctic Oceans.[49] (WHS)[50] (BR)[51]","48.80,-114.00","May 11, 1910","1,013,126.39 acres (4,100.0 km2)",2908458,48.8,-114.0,https://www.alltrails.com/parks/us/montana/glacier-national-park,https://www.nps.gov/media/photo/collection-item.htm?pg=7323739&cid=305fb7af-a71b-469b-941e-a98b439c882f&id=9fe2fe28-43af-4574-8dde-2555a2657aca&sid=b261f7eb-69ad-4be3-b8e9-89a3f6943e5e&p=1&sort=relevance,Park Map
Glacier Bay,"Home to tidewater glaciers and fjords, accessible by boat. Ideal for kayaking and scenic camping. Glacier Bay contains tidewater glaciers, mountains, fjords, and a temperate rainforest, and is home to large populations of grizzly bears, mountain goats, whales, seals, and eagles. When discovered in 1794 by George Vancouver, the entire bay was covered by ice, but the glaciers have since receded more than 65 miles (105 km).[52] (WHS)[53] (BR)[54]","58.50,-137.00","December 2, 1980","3,223,383.43 acres (13,044.6 km2)",545758,58.5,-137.0,https://www.alltrails.com/parks/us/alaska/glacier-bay-national-park,https://www.nps.gov/media/photo/collection-item.htm?pg=7323739&cid=305fb7af-a71b-469b-941e-a98b439c882f&id=78ae37a8-e3b9-4494-bc6e-36672b2659fa&sid=269e3a37-9010-4d34-ae03-31a0160741e1&p=1&sort=relevance,Park Map
Grand Canyon,"Massive canyon with stunning views and hiking trails like the Bright Angel Trail. The Grand Canyon, carved by the mighty Colorado River, is 277 miles (446 km) long, up to 1 mile (1.6 km) deep, and up to 15 miles (24 km) wide. Millions of years of erosion have resulted in a massive three-tiered canyon, exposing the multicolored layers of the Colorado Plateau in mesas and canyon walls, visible from trails that descend into the canyon from the north and south rims.[55] (WHS)[56]","36.06,-112.14","February 26, 1919","1,201,647.03 acres (4,862.9 km2)",4732101,36.06,-112.14,https://www.alltrails.com/parks/us/arizona/grand-canyon-national-park,https://www.nps.gov/media/photo/collection-item.htm?pg=7323739&cid=305fb7af-a71b-469b-941e-a98b439c882f&id=4f2c94ce-953a-4099-afae-49b7565484f4&sid=65d0a3c2-45e0-40f3-be06-fa89fbf489c9&p=1&sort=relevance,Park Map
Grand Teton,"Dramatic mountain scenery with diverse trails, lake views, and excellent backcountry camping. Grand Teton is the tallest mountain in the scenic Teton Range. The park's historic Jackson Hole and reflective piedmont lakes teem with endemic wildlife, with a backdrop of craggy mountains that rise abruptly from the sage-covered valley below.[57] (BR)[7]","43.73,-110.80","February 26, 1929","310,044.36 acres (1,254.7 km2)",2806223,43.73,-110.8,https://www.alltrails.com/parks/us/wyoming/grand-teton-national-park,https://www.nps.gov/media/photo/collection-item.htm?pg=7323739&cid=305fb7af-a71b-469b-941e-a98b439c882f&id=9f35789f-3f7d-447b-9fe7-cb4914e0b6e1&sid=375d897c-449e-4f11-bb64-cb6f9c41130a&p=1&sort=relevance,Park Map
Great Basin,"High-desert landscapes, caves, and alpine trails, including the Wheeler Peak summit trail. Based around Nevada's second tallest mountain, Wheeler Peak, Great Basin National Park protects 5,000-year-old bristlecone pines, a rock glacier, and the limestone Lehman Caves. Due to its remote location, the park is home to some of the country's darkest night skies. Wildlife includes the Townsend's big-eared bat, pronghorn, and Bonneville cutthroat trout.[58]","38.98,-114.30","October 27, 1986","77,180.00 acres (312.3 km2)",142115,38.98,-114.3,https://www.alltrails.com/parks/us/nevada/great-basin-national-park,https://www.nps.gov/media/photo/collection-item.htm?pg=7323739&cid=305fb7af-a71b-469b-941e-a98b439c882f&id=007eacbe-782f-4e20-b8d0-0f68c8f8e307&sid=83641050-adb8-4d1f-b117-30ea702d82e2&p=1&sort=relevance,Park Map
Great Sand Dunes,"Tallest dunes in North America, with scenic trails and backcountry camping. Ideal for sandboarding and stargazing. The tallest sand dunes in North America, up to 750 feet (230 m) tall, were formed by deposits of the ancient Rio Grande in the San Luis Valley. Abutting a variety of grasslands, shrublands, and wetlands, the park also features alpine lakes, six 13,000-foot mountains, and old-growth forests.[59]","37.73,-105.51","September 24, 2004","107,345.73 acres (434.4 km2)",493428,37.73,-105.51,https://www.alltrails.com/parks/us/colorado/great-sand-dunes-national-park,https://www.nps.gov/media/photo/collection-item.htm?pg=7323739&cid=305fb7af-a71b-469b-941e-a98b439c882f&id=1dd33a11-0d4a-41ef-afbe-5f8a9d7bec4a&sid=11eead18-7f6e-4756-827f-a1d6ca39e05f&p=1&sort=relevance,Park Map
Great Smoky Mountains,"Known for misty, forested landscapes, wildflower trails, and historic buildings. Ideal for camping and diverse hiking. The Great Smoky Mountains, part of the Appalachian Mountains, span a wide range of elevations, making them home to over 400 vertebrate species, 100 tree species, and 5,000 plant species. Hiking is the park's main attraction, with over 800 miles (1,300 km) of trails, including 70 miles (110 km) of the Appalachian Trail. Other activities include fishing, horseback riding, and touring nearly 80 historic structures.[60] (WHS)[61] (BR)[62]","35.68,-83.53","June 15, 1934","522,426.88 acres (2,114.2 km2)",12937633,35.68,-83.53,https://www.alltrails.com/parks/us/tennessee/great-smoky-mountains-national-park,https://www.nps.gov/media/photo/collection-item.htm?pg=7323739&cid=305fb7af-a71b-469b-941e-a98b439c882f&id=8410e7f4-0499-4e4e-802f-7bbdfb85b5fa&sid=3e946cf8-27e6-4ea3-94b2-1ceec8223539&p=1&sort=relevance,Park Map
Guadalupe Mountains,"Texas’ highest point, featuring rugged peaks and fossilized reefs. Excellent for remote hiking and camping. This park contains Guadalupe Peak, the highest point in Texas, as well as the scenic McKittrick Canyon filled with bigtooth maples, a corner of the arid Chihuahuan Desert, and a fossilized coral reef from the Permian era.[63]","31.92,-104.87","September 30, 1972","86,367.10 acres (349.5 km2)",219987,31.92,-104.87,https://www.alltrails.com/parks/us/texas/guadalupe-mountains-national-park,https://www.nps.gov/media/photo/collection-item.htm?pg=7323739&cid=305fb7af-a71b-469b-941e-a98b439c882f&id=885d9357-5685-442c-8290-03ba4cd09529&sid=6b503d5d-25b7-44a2-850f-a167fc6b67db&p=1&sort=relevance,Park Map
Haleakalā,"Features volcanic landscapes and panoramic sunrise views. Great for stargazing, hiking, and camping. The Haleakalā volcano on Maui features a very large crater with numerous cinder cones, a grove of non-native trees, the Kipahulu section's scenic pools of freshwater fish, and the endemic Hawaiian goose. The park protects the greatest number of endangered species within a U.S. national park.[64] (BR)[65]","20.72,-156.17","July 1, 1961","33,488.98 acres (135.5 km2)",1087616,20.72,-156.17,https://www.alltrails.com/parks/us/hawaii/haleakala-national-park,https://www.nps.gov/media/photo/collection-item.htm?pg=7323739&cid=305fb7af-a71b-469b-941e-a98b439c882f&id=b70421dc-88c0-4da8-b5a6-409578a6ba73&sid=57aeb9f6-24ee-42e4-b03a-2bf20e0f25c1&p=1&sort=relevance,Park Map
Hawaiʻi Volcanoes,"Active volcanoes, lava fields, and tropical forests. Offers unique hiking and camping experiences. This park on the Big Island protects the Kīlauea and Mauna Loa volcanoes, two of the world's most active geological features. Diverse ecosystems range from tropical forests at sea level to barren lava beds at more than 13,000 feet (4,000 m).[66] (WHS)[67] (BR)[65]","19.38,-155.20","August 1, 1916","344,812.18 acres (1,395.4 km2)",1580961,19.38,-155.2,https://www.alltrails.com/parks/us/hawaii/hawaii-volcanoes-national-park,https://www.nps.gov/media/photo/collection-item.htm?pg=7323739&cid=305fb7af-a71b-469b-941e-a98b439c882f&id=910dd491-61ff-4b9a-90c5-76e96c7f0872&sid=da96a415-0950-447f-9eab-514d5fa90406&p=1&sort=relevance,Park Map
Hot Springs,"Known for its historic bathhouses and hot springs, with forested trails nearby. Hot Springs was originally established by Congress as a federal reserve on April 20, 1832, making it the oldest area managed by the National Park Service. Natural thermal springs flow out of the Ouachita Mountains, providing opportunities for relaxation in a historic setting. Bathhouse Row preserves examples of 19th-century architecture.[68] Hot Springs is the first national park within a city and was the smallest national park until 2018.[69]","34.51,-93.05","March 4, 1921","5,554.15 acres (22.5 km2)",2646133,34.51,-93.05,https://www.alltrails.com/parks/us/arkansas/hot-springs-national-park,https://www.nps.gov/media/photo/collection-item.htm?pg=7323739&cid=305fb7af-a71b-469b-941e-a98b439c882f&id=739704d3-a980-417e-8bf6-acb3af735f97&sid=5c17139f-a8c6-455f-b413-e4302f4233d8&p=1&sort=relevance,Park Map
Indiana Dunes,"Beaches and sand dunes on Lake Michigan, with diverse trails and birdwatching. Previously designated a national lakeshore, parts of this 20-mile (32 km) stretch of the southern shore of Lake Michigan have sandy beaches and tall dunes. The park includes grassy prairies, peat bogs, and marsh wetlands home to over 2,000 species.[70]","41.6533,-87.0524","February 15, 2019","15,349.08 acres (62.1 km2)",2834180,41.6533,-87.0524,https://www.alltrails.com/parks/us/indiana/indiana-dunes-national-park,https://www.nps.gov/media/photo/collection-item.htm?pg=7323739&cid=305fb7af-a71b-469b-941e-a98b439c882f&id=eb29d4bb-8e29-4a88-9963-04d1b4d92d36&sid=f4526acb-9fe6-4b36-97b1-016e39f838f7&p=1&sort=relevance,Park Map
Isle Royale,"Remote island park on Lake Superior, accessible by ferry. Ideal for backcountry camping and kayaking. The largest island in Lake Superior is a place of isolation and wilderness. Along with its many shipwrecks, waterways, and hiking trails, the park also includes over 400 smaller islands within 4.5 miles (7.2 km) of its shores. There are only 20 mammal species on the island, though the relationship between its wolf and moose populations is especially unique.[71] (BR)[72]","48.10,-88.55","April 3, 1940","571,790.30 acres (2,314.0 km2)",25454,48.1,-88.55,https://www.alltrails.com/parks/us/michigan/isle-royale-national-park,https://www.nps.gov/media/photo/collection-item.htm?pg=7323739&cid=305fb7af-a71b-469b-941e-a98b439c882f&id=04c7d59d-3a6d-44e7-aa70-850cbbe00b85&sid=7999c7a0-c03a-4818-9e2a-77c9b2056b96&p=1&sort=relevance,Park Map
